x,y
1,0.05364948311126544
2,0.052827504810737835
3,0.05155146868822307
4,0.049927041767432144
5,0.0481183198524837
6,0.04617178008679149
7,0.04383918235091571
8,0.04150547425135588
9,0.03861587363273048
10,0.036152841639165205
11,0.0331775245678031
12,0.030375087783108455
13,0.027515130115576186
14,0.024576615880796966
15,0.022231941083843895
16,0.019916967658890873
17,0.017804078948397212
18,0.016055986971678402
19,0.014753522543156821
20,0.014055178456075065
21,0.013973666662965274
22,0.01459874663606697
23,0.01604779121768969
24,0.022020453699932566
25,0.032416597041501634
26,0.04795313833334601
27,0.057469539883262664
28,0.08192786202473247
29,0.11221681005045418
30,0.15103272500986661
31,0.19341970147802734
32,0.21504524382474016
33,0.23803465154184955
34,0.2643706130630314
35,0.2907127149680033
36,0.3173463498127742
37,0.3460843223652964
38,0.37620717191287845
39,0.40586830489383147
40,0.4352784360106391
41,0.4899208321975889
42,0.5301359828908517
43,0.5597226749745879
44,0.5897426752698207
45,0.6192744253993158
46,0.6491364841429794
47,0.6770841789711951
48,0.7048342421399052
49,0.7319442127235112
50,0.755980357322354
51,0.7821259176290417
52,0.8036280775004931
53,0.826253615758747
54,0.8464375989123992
55,0.864577614529632
56,0.8811654553754285
57,0.8978195252225742
58,0.9105905822041419
59,0.9152442032375535
60,0.9162023017291226
61,0.9100985098556276
62,0.8952513993847864
63,0.8780401503989778
64,0.8600161734644554
65,0.8381684902823238
66,0.8134428385489791
67,0.7847022537941302
68,0.7544292507889199
69,0.7217659244966418
70,0.6862688393499883
71,0.6461658790433796
72,0.6060185638186522
73,0.5612509810115613
74,0.5133036551706486
75,0.4679854107665177
76,0.41680314388357326
77,0.3710399561020741
78,0.3218851430210474
79,0.2769043514182871
80,0.2358346336422093
81,0.19374847575686852
82,0.1634617327501072
83,0.13564279826855977
84,0.11516657695950919
85,0.10287954106272451
86,0.09848621405576719
87,0.1027428127718055
88,0.11458530948938964
89,0.13490776604151944
90,0.16148299098226945
91,0.19462852421670773
92,0.23434977796721806
93,0.27649486675592383
94,0.31971672892606606
95,0.3637820528079446
96,0.412143742962999
97,0.45780151331550184
98,0.5015837897720028
99,0.5460565251825186
100,0.5874268995348055
101,0.6269912224735056
102,0.6612804164616853
103,0.6964769340216103
104,0.7278146465348907
105,0.7566535532382139
106,0.785333978878099
107,0.8072308794171041
108,0.8296660979854876
109,0.850664764796969
110,0.86853549010218
111,0.884955356012783
